Unnamed: 0,번호,제목,저자,출판사,출판일
,68,Potentials of AI in medical image analysis in Gastroenterology and Hepatology,"Chen, Hao; Sung, Joseph J Y",John Wiley & Sons Ltd,2021
,69,"Should AI-Based, conversational digital assistants employ social- or task-oriented interaction style? A task-competency and reciprocity perspective for older adults","Chattaraman, Veena; Kwon, Wi-Suk; Gilbert, Juan E.; Ross, Kassandra","Elsevier Science B.V., Amsterdam.",2019
,70,Thilo Sarrazin Deutschland schafft sich ab & Eric Zemmour Le Suicide français,"Pryce-Jones,  David",FOUNDATION FOR CULTURE REVIEW INC,2015
,71,"AI in the ICU: In the intensive care unit, artificial intelligence can keep watch","Gholami, B.; Haddad, W. M.; Bailey, J. M.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,72,606 KLF4 Is a Downstream Target of the Notch Signaling Pathway That Controls Goblet Cell Differentiation in the Mouse GI Tract,"Yang, X.; Pritchard, D. M.; Takaishi, S.; Tu, s.; Marrache, F.; Gordon, S. A.; Wang, T. C.; Ai, W.",ELSEVIER SCIENCE B.V. AMSTERDAM,2008
,73,Redesigning flipped classrooms: a learning model and its effects on student perceptions,"Wang, Yanqing; Huang, Xinzhuo; Schunn, Christian Dieter; Zou, Yan; Ai, Wenguo",Springer Nature,2019
,74,"AI, Kitsch, and Communication","Hertzberg, J.",Springer Science + Business Media,2017
,75,Social-Strata-Related Cardiovascular Health Disparity and Comorbidity in an Aging Society: Implications for Professional Care,"Ai, A. L.; Carrigan, L. T.",NASW NATIONAL ASSOCIATION OF SOCIAL WORKERS,2007
,76,Simulation of Stormwater Control Effect of LID Municipal Road Based on SWMM,"Hu,  Ai-bing",CHINA WATER AND WASTEWATER JOURNAL PUBLISHING,2015
,77,"Ballet International de Marseille Frederic Flamand, Ai Weiwei",unknown,ARCA EDIZIONI SPA,2010
,78,Supple Equality of Terms: Definition and Evaluation,"Chantal, E.",CSREA Press,1999
,79,"Graph Analysis for Detecting Fraud, Waste, and Abuse in Health-Care Data","Liu,  Juan; Bier,  Eric; Wilson,  Aaron; Guerra-Gomez,  John Alexis; Honda,  Tomonori; Sricharan,  Kumar; Gilpin,  Leilani; Davie,  Daniel",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,80,Capturing Planned Protests from Open Source Indicators,"Muthiah,  Sathappan; Huang,  Bert; Arredondo,  Jaime; Mares,  David; Getoor,  Lise; Katz,  Graham; Ramakrishnan,  Naren",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,81,A governance model for the application of AI in health care,"Reddy, Sandeep; Allan, Sonia; Coghlan, Simon; Cooper, Paul",Oxford University Press,2020
,82,Robust Learning and Meet Complete Hypothesis Spaces,"Jenkins, W. T",World Scientific,1995
,83,AI Industrial Complex: The Challenge of AI Ethics,unknown,IEEE COMPUTER SOCIETY,2017
,84,NMR Structure Elucidation of Triterpene Saponin Isolated from Dipsacus asperoides C. Y. Cheng et T. M. Ai,"Wu, S.; Liu, E.-w.; Liu, H.; Wang, M.; Hao, Y.; Zhu, X.-y.",SCIENCE PRESS,2010
,85,Can AI create art?,unknown,IPC MAGAZINES LTD,2019
,86,Virtual Links: intergenerational learning and experience sharing across age divides and distances,Anne Inga Hilsen; Richard Ennals,SPRINGER VERLAG KG,2009
,87,A learning-lab where AI meets hypermedia,"Trentin, G.; Midoro, V.",Association for the Advancement of Computing in Education,1996
,88,Product Portfolio and Mobile Apps Success: Evidence from App Store Market,"Lee, G.; Raghu, T.S.",Red Hook; Curran,2011
,89,"Concussion, Diffuse Axonal Injury, and AIS4+ Head Injury in Motor Vehicle Crashes","Viano, David C.; Parenteau, Chantal S.",Taylor & Francis,2015
,90,Scheduling High-Volume Service Requests: Applying AI methods to a management information system effectively can address business needs,"Stein, R. M.",MILLER FREEMAN INC,1994
,91,"Treatment of Palmar Hyperhidrosis with Tap Water Iontophoresis: A Randomized, Sham-Controlled, Single-Blind, and Parallel-Designed Clinical Trial","Kim,  Do Hun; Kim,  Tae Han; Lee,  Seung Ho; Lee,  Ai Young",KOREAN DERMATOLOGICAL ASSOCIATION,2017
,92,Future enhanced clinical role of pharmacists in Emergency Departments in England: multi-site observational evaluation,"Hughes, E.; Terry, D.; Huynh, C.; Petridis, K.; Aiello, M.; Mazard, L.; Ubhi, H.; Terry, A.; Wilson, K.; Sinclair, A.",Springer Science + Business Media,2017
,93,Intelligent Learning Technologies: Applications of Artificial Intelligence to Contemporary and Emerging Educational Challenges,"Chaudhri, V.K.; Gunning, D.; Lane, H.C.; Roschelle, J.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2013
,94,Arginine vasopressin relates with spatial learning and memory in a mouse model of spinocerebellar ataxia type 3,"Jiang, Hong-Bo; Du, Ai-Lin; Luo, Hai-Yang; Yang, Jun; Luo, Xiao-Qiu; Ma, Rui-Qing; Shi, Chang-He; Xu, Yu-Ming","Elsevier Science B.V., Amsterdam",2017
,95,Towards a Managerial Decision Framework for Utilization of Cyber Insurance Instruments in IT Security,"Bandyopadhyay, T.; Shidore, S.",Red Hook; Curran,2011
,96,Effect of pH on the expression of RsMYB1 that regulates anthocyanin production in Petunia plants,"Lee, Deuk Bum; Ai, Trinh Ngoc; Naing, Aung Htay; Kim, Chang Kil",KOREA SOCIETY OF PLANT BIOTECHNOLOGY,2018
,97,Stiffness Evaluation of Submerged Floating Foundation Moored by four Cables: Discussion,"Ai, M.",DOTOKU GAKKAI,1994
,98,Adaptive Strategy Decision Mechanism for StarCraft AI,"Yi, S.",Springer; 1999,2011
,99,Real-Time Object Detection With Reduced Region Proposal Network via Multi-Feature Concatenation,"Shih, Kuan-Hung; Chiu, Ching-Te; Lin, Jiou-Ai; Bu, Yen-Yu",IEEE,2020
,100,Automated Path Planning for Simulation,"Marti, J.; Bunn, C.",IEEE,1994
,1,Study on the Innovation of South Korean Mobile Telecommunication Businesses: An Institutional Intervention Perspective,"Kim, T.; Jahng, J.; Ravichandran, T.",New York; Curran,2009
,2,"A Comprehensive Review of the COVID-19 Pandemic and the Role of IoT, Drones, AI, Blockchain, and 5G in Managing its Impact","Chamola, Vinay; Hassija, Vikas; Gupta, Vatsal; Guizani, Mohsen",IEEE,2020
,3,AI Technologies in Financial Business Industry,"Tanioka, H.; Fujimoto, K.; Nakabayashi, S.",JAPANESE SOC ARTIFICIAL INTELL,2002
,4,Real-Time Intravascular Shear Stress in the Rabbit Abdominal Aorta,"Ai, L.; Yu, H.; Dai, W.; Hale, S.L.; Kloner, R.A.; Hsiai, T.K.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2009
,5,SMS Mobile Technology Success in Changing HIV/AIDS Behavior through Awareness,"Negash, S.",New York; Curran,2009
,6,An AI Architecture Based on Message Passing,"Kumar, D.",AAAI Press,1993
,7,A Comparative Analysis of Learning Environment Design: The Case of Mathematical Word Problem Solving,"Nathan, M.;Koedinger, K. R.;Schwarz, B.;Reusser, K.",Univ,1993
,8,"Immune evolution and autoimmunity: Remarks on the review entitled ""Evolution of immune systems from self/not self to danger to artificial immune systems (AIS)""","Engelmann, P.; Nemeth, P.",Elsevier Science B.V. Amsterdam,2010
,9,Quantification of regional myocardial blood flow using dynamic H₂15O PET and factor analysis,"Ahn, Ji-Young;Lee, Dong-Soo;Lee, Jae-Sung;Kim, Seok-Ki;Cheon, Gi-Jeong;Yeo, Jeong-Seok;Shin, Seung-Ai;Chung, June-Key;Lee, Myung-Chul",THE SOCIETY OF NUCLEAR MEDICINE INC,2001
,10,Spine-Rib Rotation Differences at the Apex in Preoperative Patients with Adolescent Idiopathic Scoliosis (AIS): Evaluation of a Three-level Ultrasound Method,"Burwell, R. G.; Aujla, R. K.; Cole, A. A.; Kirby, A. S.; Pratt, R. K.; Webb, J. K.; Moulton, A.",IOS Press; 1999,2002
,11,Beyond Full-text Search: AI-based Technology to Support the Knowledge Cycle,"Steier, D. M.;Huffman, S. B.;Kalish, D. I.",AAAI,1997
,12,M1269 Relationship Between Small Intestinal Bacterial Overgrowth and Intestinal Permeability in Cirrhotic Patients,"Scarpellini, E.; Cazzato, I. A.; Gabrielli, M.; Ainora, M. E.; de Lorenzo, A.; Gasbarrini, G.; Valenza, V.; Gasbarrini, A.",ELSEVIER SCIENCE B.V. AMSTERDAM,2010
,13,Collaborative Problem Solving: Theoretical Frameworks and Innovative Systems,"Terveen, L.;Fischer, G.;Johnson, W. L.;Moore, J.",Univ,1993
,14,Solving Raven's IQ-Tests: An AI and Cognitive Modeling Approach,"Ragni, M.; Neubert, S.",IOS Press,2012
,15,Toward Developing an Experiential Learning Curriculum Model in Information Technology,"Keane, L.B.; Patten, K.; Brookshire, G.; Cardon, P.W.; Gerdes, J.H.; Norris, D.",New York; Curran,2009
,16,Investing in AI Technologies and Startups: How We Should Value Ethics as Investors?,"Sonoda,  Atom",Japanese Society for Artificial Intelligence,2018
,17,P-968:Multiple ovarian proteins are targeted in autoimmune premature ovarian failure (AI-POF),"Khole, V. V.; Pires, E. S.; Meherji, P. K.","Elsevier Science B.V., Amsterdam.",2006
,18,Introduction: Innovative Applications of Artificial Intelligence 2016,"Yeh,  Peter Z.; Crawford,  James",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,19,Embodied Communication in Humans and Machines,"Wachsmuth, I.; Knoblich, G.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2005
,20,Combining Decision Procedures for Sorted Theories,"Tinelli, C.; Zarba, C. G.",Berlin; London; Springer,2004
,21,"Self-Training Artificial Neural Networks: Nets, Spreadsheets, and Objects","Thaler, S. L.","KNOWLEDGE TECHNOLOGY, INC.",1996
,22,Study on the relationship between dairy intake and overweight/obesity among school-age children,"Liu, Yan; Zhao, Ai; Wang, Pei-yu; Zhang, Yu-mei",Chinese Preventive Medicine Association,2018
,23,Spinal Deformity in Marfan Versus AIS: Learning from the Differences,"Gjolaj, J.; Sponseller, P.; Shah, S.; Newton, P.; Flynn, J.; Lonner, B.; Samdani, A.; Marks, M.; Neubauer, P.; Bastrom, T.","Elsevier Science B.V., Amsterdam.",2011
,24,Smart pattern display by tuning the surface plasmon resonance of hollow nanocone arrays,"Ai, B.; Mohwald, H.; Zhang, G.",Royal Society of Chemistry,2015
,25,Issues in Web-Based Teaching,"Aggarwal, A. K.; Bento, R.; Bialaszewski, D.; Kemery, E.",AIS,1998
,26,Impact of a Psychiatric Nurse Specialist as a Liaison for Pregnant Women with Mental Disorders,"Tsuji, Shunichiro; Fujii, Kumiko; Ando, Mitsuko; Katsura, Daisuke; Yoneoka, Yutaka; Amano, Tsukuru; Yamada, Yurika; Noda, Misawo; Kamagahara, Nao; Nakai, Ai",TOHOKY UNIVERSITY MEDICAL PRESS,2021
,27,Clinical emergency treatment of 68 critical patients with severe organophosphorus poisoning and prognosis analysis after rescue,"Dong, Hui; Weng, Yi-Bing; Zhen, Gen-Shen; Li, Feng-Jie; Jin, Ai-Chun; Liu, Jie",Lippincott Williams and Wilkins,2017
,28,人工知能(AI)と弁理士業務 : 人工知能(AI)の進化により弁理士の業務をどのように変化させるべきか。,日比 恆明,弁理士,2017
,29,"Social media analytics: a survey of techniques, tools and platforms","Batrinca, B.; Treleaven, P. C.",SPRINGER VERLAG KG,2015
,30,Banding structure formation during directional solidification of Pb-Bi peritectic alloys,"HU, X. w.; LI, S. m.; AI, F. r.; YAN, H.",ALLERTON PRESS,2012
,31,AI and education: the importance of teacher and student relations,"Guilherme, Alex",SPRINGER VERLAG KG,2017
,32,"Deep Models, Machine Learning, and Artificial Intelligence Applications in National and International Security","Zhao, Ying; Flenner, Arjuna",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,33,The effect of mosapride citrate on constipation due to the irritable bowel syndrome,"Odaka, T.; Seza, A.; Yamaguchi, T.; Gen, S.; Ai, M.; Saisho, H.",UNKNOWN,2005
,34,電子部品製造×AI : 技術者の工数減と無人ラインを実現 (The ROBOT イノベーション×ビジネス) -- (特集 ×-AI(クロスエーアイ)ビジネス : 中小企業がAIで成果を上げ始めた),unknown,日刊工業新聞社,2018
,35,AN AI STEREOTYPE CATCHER An artificial intelligence method identifies implicit human biases such as gender stereotypes,"Greenwald,  A. G.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,36,A novel graphene-like titanium carbide MXene/Au–Ag nanoshuttles bifunctional nanosensor for electrochemical and SERS intelligent analysis of ultra-trace carbendazim coupled with machine learning,"Zhu, Xiaoyu; Liu, Peng; Xue, Ting; Ge, Yu; Ai, Shirong; Sheng, Yingying; Wu, Ruimei; Xu, Lulu; Tang, Kaijie; Wen, Yangping","Elsevier Science B.V., Amsterdam.",2021
,37,"Editorial for ""Top 10 Reviewer Critiques of Radiology Artificial Intelligence (AI) Articles: Qualitative Thematic Analysis of Reviewer Critiques of Machine Learning / Deep Learning Manuscripts Submitted to JMRI""","Nencka, Andrew S.","John Wiley & Sons, Ltd",2020
,38,Feature Selection for Machine Learning: Comparing a Correlation-Based Filter Approach to the Wrapper,"Hall, M. A.;Smith, L. A.",Florida AI Research Society,1999
,39,AI-boosted software automation: learning from human pair programmers,"Peng, Xin; Xing, Zhenchang; Sun, Jun",Springer Nature,2019
,40,Towards a science of integrated AI and Robotics,"Rajan, Kanna; Saffiotti, Alessandro","Elsevier Science B.V., Amsterdam.",2017
,41,Safety &#x002B; AI: A Novel Approach to Update Safety Models Using Artificial Intelligence,"Gheraibia, Youcef",IEEE,2019
,42,Comprehensive Insights into the Multi-Antioxidative Mechanisms of Melanin Nanoparticles and Their Application To Protect Brain from Injury in Ischemic Stroke,"Liu,  Yanlan; Ai,  Kelong; Ji,  Xiaoyuan; Askhatova,  Diana; Du,  Rose; Lu,  Lehui; Shi,  Jinjun",ACS AMERICAN CHEMICAL SOCIETY,2017
,43,A Proposed Research Model for Appraisal and Evaluation of the Design Quality of Web Sites in the Context of Electronic Commerce,"Liu, C.; Arnett, M.",AIS,1998
,44,Development of a Ground-based Experimental Facility for Space Waste Material Processing with Microorganism,"Ai, W.-d.; Guo, S.-s.; Wang, X.-x.; Fu, L.",UNKNOWN,2004
,45,Thesis: On the use of machine learning methods for modern drug discovery,"Soto, A.J.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2011
,46,Applications of AI Techniques to Generation Planning and Investment,"Wu, F.; Yan, Z.; Hu, Y.; Ni, Y.","IEEE,",2004
,47,AI and Blockchain: A Disruptive Integration,"Dinh, Thang N.; Thai, My T.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,48,The AI stack: a blueprint for developing and deploying artificial intelligence [10635-11],unknown,The Society,2018
,49,AI: the HR revolution,"Gulliford, Fred; Parker Dixon, Amy",Emerald Group Publishing Ltd,2019
,50,Top 10 Reviewer Critiques of Radiology Artificial Intelligence (AI) Articles: Qualitative Thematic Analysis of Reviewer Critiques of Machine Learning/Deep Learning Manuscripts Submitted to JMRI,"Gregory, Jules; Welliver, Sara; Chong, Jaron","John Wiley & Sons, Ltd",2020
,51,Can AI help in the fight against COVID‐19?,"Scott, Ian A; Coiera, Enrico W",John Wiley & Sons Ltd,2020
,52,AI in Banking and Financial Services: Current and Future Trends,"Hall, Curt",CUTTER CONSORTIUM,2018
,53,Augmented creativity. Super-fast digital forensics. Spheres in space. AI card games. The impact of ``slacktivism''. Ikea-bot,unknown,IPC MAGAZINES LTD,2013
,54,Adaptive AI in a racing simulator: a challenging and fun environment for any user,"MacKinnon, B.",Springer Science + Business Media,2012
,55,Accurate and Easy-to-Understand Representation in Journalism — From Second to Third AI Boom —,"Kabata,  Hisatoshi",JAPANESE SOC ARTIFICIAL INTELL,2017
,56,Helping Students Articulate and Criticize Scientific Explanations,"Cavalli-Sporza, V.;Moore, J. D.;Suthers, D. D.",Univ,1993
,57,AI Pad Corrosion Mechanism Study When Dicing Saw,"Duan, S.; Li, M.; Yu, Q.; Su, J.; Lin, S.; Niou, C.; Chien, W. T. K.",ASM International; 1998,2007
,58,"IBM Watson, heal thyself: How IBM overpromised and underdelivered on AI health care","Strickland, Eliza",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,59,"Artificial Intelligence-Explosive Ordnance Disposal (AI-EOD) Information Search, Retrieval, and Delivery System","Conner, H. D.",NTIS,1992
,60,Electrochemiluminescence biosensor for DNA hydroxymethylation detection based on enzyme-catalytic covalent bonding reaction of –CH2OH and thiol functionalized Fe3O4 magnetic beads,"Sui, Chengji; Yin, Huanshun; Wang, Lingsong; Zhou, Yunlei; Ai, Shiyun","Elsevier Science B.V., Amsterdam.",2020
,61,Establishing the rules for building trustworthy AI,"Floridi, Luciano",Springer Nature,2019
,62,MULTIPLE SMALL INTESTINE INTUSSUSCEPTIONS SECONDARY TO THE CERVICAL SPINAL CORD INJURY IN AN ADULT: A RARE PRESENTATION,"Dong, Yuan; Song, Tao; Yu, Hua; Wei, Ze-hong; Li, Min; Zhu, Ying; Nie, Qian-yun; Huang, Ai-long; Li, Jian-bo; Tang, Ren-kuan",Lippincott Williams and Wilkins,2016
,63,A machine learning approach for cost prediction analysis in environmental governance engineering.,"Ai, Di; Yang, Jisheng.",SPRINGER INTERNATIONAL,2019
,64,Future Spintronics Leads: Open up —IoT/AI Edge Super Power—saving non—volatile COMPUTING—,"Sahashi, Masashi",INSTITUTE OF ELECTRICAL ENGINEERS OF JAPAN,2019
,65,Enhancing model checking in verification by AI techniques,"Buccafurri, Francesco ; Eiter, Thomas ; Gottlob, Georg ; Leone, Nicola",North-Holland Pub. Co. [etc.],1999
,66,General Game Playing in AI Research and Education,"Thielscher, M.",SPRINGER-VERLAG,2011
,67,"Supply Chain's Future Rests in the Cloud Supply chains are ready for a digital makeover, based on intelligent technologies like AI, machine learning and the IoT","Chiang,  Albert",Penton Media,2017
,68,AI and Fake News,"Cybenko, Anne K.",COMPUTER SOCIETY,2019
,69,Identifying Factors Affecting SNS Users as a Temporary or Persistent User: An Empirical Study,"Shin, S.I.; Hall, D.",Red Hook; Curran,2011
,70,Preoperative Autologous Blood Donation Does Not Affect Pre-Incision Hematocrit in AIS Patients. A Retrospective Cohort of A Prospective Randomized Trial,"Peters, A.; Verma, K.; Diefenbach, C.; Hoelscher, C. M.; Huncke, T. K.; Boenigk, K.; Errico, T. J.; Lonner, B. S.","Elsevier Science B.V., Amsterdam.",2013
,71,Current reversal in a two-noise ratchet,"Ai, B.; Xie, H.; Liu, L.",SPRINGER,2005
,72,Culture of low density E. coli cells in alginate–chitosan microcapsules facilitates stress resistance by up-regulating luxS/AI-2 system,"Gao, Meng; Song, Huiyi; Zheng, Huizhen; Ren, Ying; Li, Shen; Liu, Xiudong; Yu, Weiting; Ma, Xiaojun","Elsevier Science B.V., Amsterdam.",2016
,73,AIが変える宿泊産業の未来 人工知能を活用したインバウンド向け「日本ガイド」ツールが誕生,unknown,(株)フ－ド.ビジネス,2017
,74,Demystifying the role of AI for better network security,"Kurpjuhn, Thorsten","Elsevier Science B.V., Amsterdam.",2019
,75,Re-ranking of High-Impact AI Journals Based on H-Index,"Zhang, L.",Springer Science + Business Media,2011
,76,The effect of functional loads on free spanning pipeline’s VIV response,"Ai, S. m.; Sun, L. p.",Harbin Engineering University,2009
,77,The AI Education Repository,Deepak Kumar,"Special Interest Group on Artificial Intelligence, Association for Computing Machinery",1999
,78,Identifying Terrorist Activity with AI Plan Recognition Technology,"Jarvis, P. A.; Lunt, T. F.; Myers, K. L.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2005
,79,Performance on ADAS-Cog items across ADCS trials,"Schafer, K.; Sano, M.; Donohue, M.; Sun, C. K.; Aisen, P.; Schneider, L.",ELSEVIER SCIENCE B.V. AMSTERDAM,2012
,80,Invisible chameleon tanks. AI astronomy takes over star-gazing. Evolving robots,unknown,IPC MAGAZINES LTD,2011
,81,ELECTROKINETIC PARTICLE TRANSPORT IN MICRO-/NANOFLUIDICS Direct Numerical Simulation Analysis,"Qian, S.; Ai, Y.",MARCEL DEKKER AG,2012
,82,The Present and Future of AI -Views from HAL's Legacy-,"Osawa, E.-I.",JAPANESE SOC ARTIFICIAL INTELL,2001
,83,"HR TECHNOLOGY 6 HR TECH TRENDS FOR 2018 AI, bots and digital twins will shape the year in HR","Wright,  Aliah D.",SOCIETY FOR HUMAN RESOURCE MANAGEMENT,2018
,84,"Embodied AI, Creation, and Cog","Foerst, A.",BASEL BLACKWELL INC,1998
,85,"The Frame Problem - Past, Present and Future","Sandewall, E.",Springer-Verlag,1992
,86,Rapid detection of avian influenza A virus by immunochromatographic test using a novel fluorescent dye,"Yeo, Seon-Ju; Cuc, Bui Thi; Kim, Soon-Ai; Kim, Do Thi Hoang; Bao, Duong Tuan; Tien, Trinh Thi Thuy; Anh, Nguyen Thi Viet; Choi, Do-Young; Chong, Chom-Kyu; Kim, Hak Sung; Park, Hyun","Elsevier Science B.V., Amsterdam.",2017
,87,"Ai Ra Kim, Women Struggling for a New Life: The Role of Religion in the Cultural Passage from Korea to America","Lee, L.",AMERICAN SOCIOLOGICAL ASSOCIATION,1997
,88,Posttraumatic symptoms and growth of Kosovar war refugees: The influence of hope and cognitive coping,"Ai, A. L.; Tice, T. N.; Whitsett, D. D.; Ishisaka, T.; Chim, M.",Taylor & Francis Group,2007
,89,EHR Adoption and Patient Safety: The Role of EHR and Health Care Provider Characteristics,"Xiao, N.; Sharman, R.; Rao, H.R.; Singh, R.; Singh, G.",Red Hook; Curran,2011
,90,Purification and Characterization of a Novel β-Cypermethrin-Degrading Aminopeptidase from Pseudomonas aeruginosa GF31,"Tang,  Ai-Xing; Liu,  Hu; Liu,  You-Yan; Li,  Qing-Yun; Qing,  Yi-Ming",ACS AMERICAN CHEMICAL SOCIETY,2017
,91,"Pamela McCorduck and A.K. Peters (eds): Machines who think: 25th anniversary update Natick, Massachusetts, 2004, ISBN 1-56881-205-1","Ennals, R.",SPRINGER VERLAG KG,2004
,92,Neutron diffraction study of stress and lattice mismatch induced by thermo-mechanical fatigue in single crystal superalloys,"Guang-Ai, S.; Bo, C.; Hua, C.; Er-Dong, W.; Jun, Z.; Ji, V.; Hughes, D.; Pirling, T.",KEXUE CHUBANSHE,2009
,93,AI Optimization of a Billiard Player,"Landry, J. F.; Dussault, J. P.",Springer Science + Business Media,2007
,94,Impact of mucosal barrier injury laboratory-confirmed bloodstream infection (MBI-LCBI) on central line-associated bloodstream infections (CLABSIs) in department of hematology at single university hospital in Japan,"Kato, Yukiko; Hagihara, Mao; Kurumiya, Ai; Takahashi, Tomoko; Sakata, Miki; Shibata, Yuichi; Kato, Hideo; Shiota, Arufumi; Watanabe, Hiroki; Asai, Nobuhiro; Koizumi, Yusuke; Yamagishi, Yuka; Mikamo, Hiroshige",Elsevier Science + Business Media,2018
,95,Information Systems Knowledge Repository: A Structure For Electronic Scholarship,"Chen, Y. S.; Ives, B.; Leleux, D.",AIS,1997
,96,Universal Design for Learning: A Field Experiment Comparing Specific Classroom Actions,"Beckman, P.",New York; Curran,2009
,97,Learning to Play Connect 4: A Study in Attribute Definition for ID3,"Baird, B. W.; Hickey, R. J.",Springer-Verlag,1992
,98,Synergic Effects of Rehabilitation and Intravenous Infusion of Mesenchymal Stem Cells After Stroke in Rats,"Sasaki,  Yuichi; Sasaki,  Masanori; Kataoka-Sasaki,  Yuko; Nakazaki,  Masahito; Nagahama,  Hiroshi; Suzuki,  Junpei; Tateyama,  Daiki; Oka,  Shinichi; Namioka,  Takahiro; Namioka,  Ai",APTA AMERICAN PHYSICAL THERAPY ASSOCIATION,2016
,99,How Does the Prospective School Teacher View the Development of the AI and Its Probable Future Encroachment on the Teaching Profession?,"Ishida, Masato; Watanabe, Sota","Osaka Kyoiku University Library, Osaka",2019
,100,"Enhancing the AIS curriculum: Integration of a research-led, problem-based learning task","Wilkin, C. L.","Elsevier Science B.V., Amsterdam.",2014
,1,"Artificial interfaces (''AI'') in surgery: Historic development, current status and program implementation in the public health sector","Healy, D. A.; Murphy, S. P.; Burke, J. P.; Coffey, J. C.","Elsevier Science B.V., Amsterdam.",2013
,2,The EyBot Mobile Robot Family,"Braunl, T.",CSREA Press,1999
,3,Research on Recognition Model of Crop Diseases and Insect Pests Based on Deep Learning in Harsh Environments,"Ai, Yong; Sun, Chong; Tie, Jun; Cai, Xiantao",IEEE,2020
,4,Effects of Replacement of Fish Meal by Soybean Meal and Supplementation of Methionine in Fish Meal/Soybean Meal-based Diets on Growth Performance of the Southern Catfish Silurus meridionalis,"Ai, Q.; Xie, X.",WORLD AQUACULTURE SOC,2005
,5,Which Group Suffers More: Inter-group Competitive Victimhood,"Juan,  Ai",EDITORIAL BOARD OF PSYCHOLOGICAL SCIENCE,2016
,6,Using Machine Learning to Acquire Domain Knowledge in an Intelligent Tutoring System,"Morelli, R.",Florida AI Research Society,1997
,7,AI and OR in management of operations: history and trends,"Kobbacy, K. A. H.; Vadera, S.; Rasmy, M. H.",Palgrave Macmillan Ltd,2007
,8,"AIS, its limitations and dangers","Pasquay, J.-N.",INSTITUT FRANCAIS DE NAVIGATION,2004
,9,The Impact of Transactional and Transformational Leadership on Organizational Performance- The Case of Selected Ethiopian Companies,"Bogale, M.; Amoroso, D.; Negash, S.",New York; Curran,2009
,10,Hierarchical Fuzzy Neural Controller Based on Error Iterative and Approach,"Ai, W.; Du, Z.; Tam, P. K. S.; Chen, Y.; Zhou, Z.",IEEE,2003
,11,Practical Applications of Artificial Intelligence (AI) for Drug Data Quality & Research,unknown,DRUG DELIVERY TECHNOLOGY,2019
,12,"The Machine Question: Critical Perspectives on AI, Robots, and Ethics-David J. Gunkel","Dzwonkowska, D.",FOUNDATION FOR INTERNATIONAL PHILOSOPHICAL EXCHANGE,2013
,13,The Application of Artificial Intelligence to Law Enforcement,"Neves, J.; Machado, J.; Abelha, A.",ACM,1997
,14,Inplane oscillation analysis of the highline system with 1 : 2 internal resonance and dominate resonance,"Ai-Di, R.; Xue-Jun, H.; Xiao-Lin, W.; Liang-Xin, Z.",KEXUE CHUBANSHE,2012
,15,Learning Opposite Concept for Machine Planning,Kang Soo Tae,Florida AI Research Society,1999
,16,Le conditionnel en français : un état de l'art,"Bres, Jacques",LAROUSSE,2018
,17,Reuse: Framework and Mechanism,"McFall, D.; Wilkie, G.; McQuillan, D.",Editions Technip,1995
,18,Tactical Language and Culture Training Systems: Using AI to Teach Foreign Languages and Cultures,"Johnson, W.L.; Valente, A.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2009
,19,Cultural Issues in the Design of Technology-Enhanced Learning Systems.,"Chen, Ai-Yen ; Mashhadi, Azam ; Ang, Daniel ; Harkrider, Nancy",Wiley-Blackwell Publishing Ltd.,1999
,20,Apple versus the FBI. Hacked hospital held to ransom. AI does cancer diagnosis,unknown,IPC MAGAZINES LTD,2016
,21,"Embodied AI as Science: Models of Embodied Cognition, Embodied Models of Cognition, or Both?","Ziemke, T.",SPRINGER-VERLAG,2004
,22,Development and validation of the ICF-CY-Based Functioning Scale of the Disability Evaluation System—Child Version in Taiwan,"Hwang,  Ai-Wen; Yen,  Chia-Feng; Liou,  Tsan-Hon; Bedell,  Gary; Granlund,  Mats; Teng,  Sue-Wen; Chang,  Kwang-Hwa; Chi,  Wen-Chou; Liao,  Hua-Fang",FORMOSAN MEDICAL ASSOCIATION,2015
,23,Online Anomaly Prediction Detection System by AI Which Became Practical Stage and Its Example,"Kimura, Daisaku; Kohata, Motomi",KAMI PAUPU GIJUTSU KYOKAI,2019
,24,A Machine-Learning Approach to the Detection of Fetal Hypoxia during Labor and Delivery,"Warrick, P.A.; Hamilton, E.F.; Kearney, R.E.; Precup, D.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2012
